month_end,trade_date,book,ticker,side,target_weight,target_notional_full,target_notional_two_cohort,target_shares_two_cohort,px_ref_open,sleeve
2025-11-28,2025-12-01,LS,ALLD3,L,0.0038674244767254,2900.56835754405,1933.7122383626997,236.0,8.2,value:+0.003867
2025-11-28,2025-12-01,LS,ALPA4,S,-0.0055968867776581,-4197.665083243575,-2798.44338882905,-243.0,11.52,momentum:+0.010458;value:-0.016055
2025-11-28,2025-12-01,LS,AMBP3,S,-0.0033761048037632,-2532.0786028224,-1688.0524018816,-6493.0,0.26,momentum:-0.003376
2025-11-28,2025-12-01,LS,AMER3,L,0.0051020101138695,3826.507585402125,2551.00505693475,422.0,6.05,momentum:+0.005102
2025-11-28,2025-12-01,LS,ANIM3,L,0.005527514606075,4145.63595455625,2763.7573030374997,731.0,3.78,momentum:+0.005528
2025-11-28,2025-12-01,LS,ARML3,S,-0.0115725370217883,-8679.402766341225,-5786.26851089415,-1333.0,4.34,momentum:-0.011573
2025-11-28,2025-12-01,LS,AURA33,L,0.0111322528925494,8349.18966941205,5566.126446274699,80.0,69.23,momentum:+0.015907;value:-0.004775
2025-11-28,2025-12-01,LS,AURE3,S,-0.0276271231983185,-20720.342398738874,-13813.56159915925,-1119.0,12.35,momentum:-0.011573;value:-0.016055
2025-11-28,2025-12-01,LS,AZUL4,S,-0.0115725370217883,-8679.402766341225,-5786.26851089415,-5729.0,1.01,momentum:-0.011573
2025-11-28,2025-12-01,LS,AZZA3,S,-0.0115725370217883,-8679.402766341225,-5786.26851089415,-202.0,28.62,momentum:-0.011573
2025-11-28,2025-12-01,LS,BBAS3,S,-0.0115725370217883,-8679.402766341225,-5786.26851089415,-261.0,22.19,momentum:-0.011573
2025-11-28,2025-12-01,LS,BEEF3,L,0.0038674244767254,2900.56835754405,1933.7122383626997,310.0,6.24,value:+0.003867
2025-11-28,2025-12-01,LS,BLAU3,L,0.013350941435203,10013.20607640225,6675.4707176015,517.0,12.9,value:+0.013351
2025-11-28,2025-12-01,LS,BPAC11,L,0.0103793364058885,7784.5023044163745,5189.668202944249,98.0,53.01,momentum:+0.010379
2025-11-28,2025-12-01,LS,BPAN4,S,-0.0115725370217883,-8679.402766341225,-5786.26851089415,-521.0,11.11,momentum:-0.011573
2025-11-28,2025-12-01,LS,BRBI11,S,-0.0160545861765301,-12040.939632397574,-8027.293088265049,-393.0,20.42,value:-0.016055
2025-11-28,2025-12-01,LS,BRKM5,S,-0.0276271231983185,-20720.342398738874,-13813.56159915925,-1808.0,7.64,momentum:-0.011573;value:-0.016055
2025-11-28,2025-12-01,LS,CAML3,S,-0.0115725370217883,-8679.402766341225,-5786.26851089415,-1001.0,5.78,momentum:-0.011573
2025-11-28,2025-12-01,LS,CASH3,L,0.0038674244767254,2900.56835754405,1933.7122383626997,481.0,4.02,value:+0.003867
2025-11-28,2025-12-01,LS,CBAV3,S,-0.0033761048037632,-2532.0786028224,-1688.0524018816,-313.0,5.39,momentum:-0.003376;value:+0.000000
2025-11-28,2025-12-01,LS,CEAB3,L,0.0292577924471666,21943.34433537495,14628.896223583299,784.0,18.66,momentum:+0.015907;value:+0.013351
2025-11-28,2025-12-01,LS,CMIG4,L,0.013350941435203,10013.20607640225,6675.4707176015,582.0,11.47,value:+0.013351
2025-11-28,2025-12-01,LS,CMIN3,L,0.0038674244767254,2900.56835754405,1933.7122383626997,358.0,5.4,value:+0.003867
2025-11-28,2025-12-01,LS,COGN3,L,0.0159068510119636,11930.1382589727,7953.4255059818,2039.0,3.9,momentum:+0.015907
2025-11-28,2025-12-01,LS,CPFE3,,0.0,0.0,0.0,0.0,49.05,momentum:+0.000000
2025-11-28,2025-12-01,LS,CPLE6,L,0.0013818786515187,1036.408988639025,690.9393257593499,,,momentum:+0.001382
2025-11-28,2025-12-01,LS,CSAN3,S,-0.0276271231983185,-20720.342398738874,-13813.56159915925,-2253.0,6.13,momentum:-0.011573;value:-0.016055
2025-11-28,2025-12-01,LS,CSNA3,S,-0.0081964322180251,-6147.324163518825,-4098.21610901255,-486.0,8.44,momentum:-0.008196
2025-11-28,2025-12-01,LS,CVCB3,L,0.013350941435203,10013.20607640225,6675.4707176015,3608.0,1.85,value:+0.013351
2025-11-28,2025-12-01,LS,EGIE3,S,-0.0038825205243276,-2911.8903932457,-1941.2602621638,-61.0,31.76,momentum:-0.003883
2025-11-28,2025-12-01,LS,ELET3,L,0.0012325461981992,924.4096486494001,616.2730990996,,,momentum:+0.001233;value:+0.000000
2025-11-28,2025-12-01,LS,EMBR3,L,3.889666834570459e-05,29.17250125927844,19.44833417285229,,,momentum:+0.001233;value:-0.001194
2025-11-28,2025-12-01,LS,ENEV3,S,-0.009608878715321,-7206.65903649075,-4804.4393576605,-240.0,20.05,value:-0.009609
2025-11-28,2025-12-01,LS,EVEN3,S,-0.0160545861765301,-12040.939632397574,-8027.293088265049,-991.0,8.1,value:-0.016055
2025-11-28,2025-12-01,LS,FESA4,L,0.010457699398872,7843.274549154,5228.849699435999,747.0,7.0,momentum:+0.010458
2025-11-28,2025-12-01,LS,FRAS3,S,-0.0160545861765301,-12040.939632397574,-8027.293088265049,-319.0,25.15,momentum:+0.000000;value:-0.016055
2025-11-28,2025-12-01,LS,GFSA3,S,-0.0115725370217883,-8679.402766341225,-5786.26851089415,-1226.0,4.72,momentum:-0.011573
2025-11-28,2025-12-01,LS,GGBR4,L,0.013350941435203,10013.20607640225,6675.4707176015,350.0,19.08,value:+0.013351
2025-11-28,2025-12-01,LS,GUAR3,L,0.013350941435203,10013.20607640225,6675.4707176015,610.0,10.94,value:+0.013351
2025-11-28,2025-12-01,LS,HAPV3,,0.0,0.0,0.0,0.0,15.06,momentum:+0.000000
2025-11-28,2025-12-01,LS,HBSA3,S,-0.0160545861765301,-12040.939632397574,-8027.293088265049,-2022.0,3.97,value:-0.016055
2025-11-28,2025-12-01,LS,HYPE3,S,-0.0160545861765301,-12040.939632397574,-8027.293088265049,-303.0,26.45,value:-0.016055
2025-11-28,2025-12-01,LS,INTB3,S,-0.0160545861765301,-12040.939632397574,-8027.293088265049,-621.0,12.93,value:-0.016055
2025-11-28,2025-12-01,LS,JALL3,L,0.0017784044134147,1333.803310061025,889.20220670735,299.0,2.97,momentum:-0.011573;value:+0.013351
2025-11-28,2025-12-01,LS,JBSS32,S,-0.009608878715321,-7206.65903649075,-4804.4393576605,-61.0,78.38,value:-0.009609
2025-11-28,2025-12-01,LS,JHSF3,L,0.013350941435203,10013.20607640225,6675.4707176015,896.0,7.45,value:+0.013351
2025-11-28,2025-12-01,LS,KLBN11,S,-0.009608878715321,-7206.65903649075,-4804.4393576605,-271.0,17.73,momentum:+0.000000;value:-0.009609
2025-11-28,2025-12-01,LS,LIGT3,L,0.013350941435203,10013.20607640225,6675.4707176015,1248.0,5.35,value:+0.013351
2025-11-28,2025-12-01,LS,LJQQ3,L,0.013350941435203,10013.20607640225,6675.4707176015,3062.0,2.18,value:+0.013351
2025-11-28,2025-12-01,LS,LWSA3,S,-0.0115725370217883,-8679.402766341225,-5786.26851089415,-1306.0,4.43,momentum:-0.011573
2025-11-28,2025-12-01,LS,MBRF3,,0.0,0.0,0.0,0.0,19.5,momentum:+0.000000
2025-11-28,2025-12-01,LS,MDIA3,S,-0.0160545861765301,-12040.939632397574,-8027.293088265049,-312.0,25.71,value:-0.016055
2025-11-28,2025-12-01,LS,MDNE3,L,0.004930184792797,3697.63859459775,2465.0923963984997,86.0,28.51,momentum:+0.004930
2025-11-28,2025-12-01,LS,MGLU3,,0.0,0.0,0.0,0.0,10.2,value:+0.000000
2025-11-28,2025-12-01,LS,MRVE3,,0.0,0.0,0.0,0.0,9.01,momentum:+0.000000
2025-11-28,2025-12-01,LS,MULT3,S,-0.0048342805959068,-3625.7104469301003,-2417.1402979534,-81.0,30.0,value:-0.004834
2025-11-28,2025-12-01,LS,MYPK3,L,0.0188000930482945,14100.069786220876,9400.04652414725,922.0,10.2,momentum:+0.005449;value:+0.013351
2025-11-28,2025-12-01,LS,NATU3,S,-0.0072586253280909,-5443.968996068175,-3629.31266404545,-458.0,7.93,momentum:-0.007259
2025-11-28,2025-12-01,LS,NEOE3,L,0.0159068510119636,11930.1382589727,7953.4255059818,246.0,32.31,momentum:+0.015907
2025-11-28,2025-12-01,LS,ONCO3,,0.0,0.0,0.0,0.0,1.79,momentum:+0.000000
2025-11-28,2025-12-01,LS,ORVR3,S,-0.0160545861765301,-12040.939632397574,-8027.293088265049,-125.0,64.15,value:-0.016055
2025-11-28,2025-12-01,LS,PCAR3,L,0.004930184792797,3697.63859459775,2465.0923963984997,601.0,4.1,momentum:+0.004930
2025-11-28,2025-12-01,LS,PGMN3,L,0.0150110315645525,11258.273673414375,7505.515782276249,1365.0,5.5,momentum:+0.005528;value:+0.009484
2025-11-28,2025-12-01,LS,PINE4,L,0.0103793364058885,7784.5023044163745,5189.668202944249,491.0,10.58,momentum:+0.010379
2025-11-28,2025-12-01,LS,POSI3,L,0.0082622250184589,6196.668763844175,4131.11250922945,970.0,4.26,value:+0.008262
2025-11-28,2025-12-01,LS,PSSA3,,0.0,0.0,0.0,0.0,47.6,momentum:+0.000000
2025-11-28,2025-12-01,LS,QUAL3,L,0.013350941435203,10013.20607640225,6675.4707176015,3134.0,2.13,value:+0.013351
2025-11-28,2025-12-01,LS,RADL3,S,-0.0115725370217883,-8679.402766341225,-5786.26851089415,-246.0,23.55,momentum:-0.011573
2025-11-28,2025-12-01,LS,RAIZ4,S,-0.0033103120033293,-2482.734002496975,-1655.15600166465,-1970.0,0.84,momentum:-0.011573;value:+0.008262
2025-11-28,2025-12-01,LS,RANI3,L,0.0292577924471666,21943.34433537495,14628.896223583299,1683.0,8.69,momentum:+0.015907;value:+0.013351
2025-11-28,2025-12-01,LS,RAPT4,S,-0.0076900164974606,-5767.51237309545,-3845.0082487303,-602.0,6.39,momentum:-0.007690
2025-11-28,2025-12-01,LS,RDOR3,S,-0.009608878715321,-7206.65903649075,-4804.4393576605,-104.0,46.08,value:-0.009609
2025-11-28,2025-12-01,LS,RECV3,L,0.013350941435203,10013.20607640225,6675.4707176015,629.0,10.62,value:+0.013351
2025-11-28,2025-12-01,LS,SEER3,L,0.0182811262280001,13710.844671000075,9140.56311400005,970.0,9.42,momentum:+0.004930;value:+0.013351
2025-11-28,2025-12-01,LS,SLCE3,L,0.013350941435203,10013.20607640225,6675.4707176015,404.0,16.51,value:+0.013351
2025-11-28,2025-12-01,LS,SMTO3,S,-0.0076900164974606,-5767.51237309545,-3845.0082487303,-279.0,13.79,momentum:-0.007690
2025-11-28,2025-12-01,LS,SOJA3,S,-0.0160545861765301,-12040.939632397574,-8027.293088265049,-926.0,8.67,value:-0.016055
2025-11-28,2025-12-01,LS,SRNA3,L,0.0039767127529909,2982.534564743175,1988.35637649545,,,momentum:+0.003977
2025-11-28,2025-12-01,LS,SYNE3,L,0.0109766662191665,8232.499664374875,5488.333109583249,1062.0,5.17,momentum:+0.010977
2025-11-28,2025-12-01,LS,TFCO4,S,-0.0056752497706416,-4256.4373279812,-2837.6248853208,-159.0,17.86,momentum:+0.010379;value:-0.016055
2025-11-28,2025-12-01,LS,TIMS3,L,0.0082622250184589,6196.668763844175,4131.11250922945,165.0,25.0,value:+0.008262
2025-11-28,2025-12-01,LS,TOTS3,S,-0.0160545861765301,-12040.939632397574,-8027.293088265049,-189.0,42.53,value:-0.016055
2025-11-28,2025-12-01,LS,TTEN3,L,0.0109766662191665,8232.499664374875,5488.333109583249,360.0,15.23,momentum:+0.010977
2025-11-28,2025-12-01,LS,TUPY3,S,-0.0115725370217883,-8679.402766341225,-5786.26851089415,-469.0,12.35,momentum:-0.011573
2025-11-28,2025-12-01,LS,UGPA3,L,0.004930184792797,3697.63859459775,2465.0923963984997,111.0,22.2,momentum:+0.004930
2025-11-28,2025-12-01,LS,UNIP6,L,0.0054491516130915,4086.8637098186246,2724.5758065457494,45.0,60.15,momentum:+0.005449
2025-11-28,2025-12-01,LS,USIM5,L,0.0060923161071121,4569.237080334075,3046.1580535560497,564.0,5.4,momentum:-0.007259;value:+0.013351
2025-11-28,2025-12-01,LS,VAMO3,S,-0.0072586253280909,-5443.968996068175,-3629.31266404545,-943.0,3.85,momentum:-0.007259
2025-11-28,2025-12-01,LS,VBBR3,L,0.004930184792797,3697.63859459775,2465.0923963984997,100.0,24.59,momentum:+0.004930
2025-11-28,2025-12-01,LS,VULC3,,0.0,0.0,0.0,0.0,20.3,momentum:+0.000000
2025-11-28,2025-12-01,LS,WIZC3,L,0.0243276076543695,18245.705740777124,12163.803827184749,1457.0,8.35,momentum:+0.010977;value:+0.013351
2025-11-28,2025-12-01,LS,YDUQ3,L,0.005527514606075,4145.63595455625,2763.7573030374997,209.0,13.2,momentum:+0.005528
